,Longitude,Latitude,Na [mg/kg]
0,-7.6697,43.5136,61.0
1,-7.5197,43.5813,57.0
2,-7.6461,43.5361,64.0
3,-7.4186,43.5947,97.0
4,-7.4953,43.5836,86.0
5,-7.4586,43.593,71.0
6,-7.4342,43.5872,57.0
7,-7.46,43.4466,28.0
8,-7.4053,43.4541,47.0
9,-7.6181,43.4208,54.0
10,-7.6308,43.448,37.0
11,-7.5331,43.5925,61.0
12,-7.5628,43.548,82.0
13,-7.4897,43.4466,47.0
14,-7.5091,43.5183,50.0
15,-7.6908,43.3086,34.0
16,-7.6686,43.4947,86.0
17,-7.5828,43.5538,54.0
18,-7.5836,43.5141,50.0
19,-7.4253,43.4758,54.0
20,-7.635,43.4863,37.0
21,-7.5303,43.4647,58.0
22,-7.5464,43.4338,47.0
23,-7.5386,43.4902,57.0
24,-7.5881,43.4705,50.0
25,-7.5942,43.4619,75.0
26,-7.5539,43.4638,50.0
27,-7.5336,43.5508,57.0
28,-7.4164,43.5911,50.0
29,-7.5389,43.5563,54.0
30,-7.5114,43.5413,136.0
31,-7.4497,43.4627,58.0
32,-7.4461,43.4214,28.0
33,-3.9609,40.6036,378.0
34,-2.5,42.5021,23.0
35,-2.595,43.0236,46.0
36,-2.4166,42.5341,46.0
37,-2.6333,42.9924,46.0
38,-2.5833,42.9508,46.0
39,-2.5833,42.8549,69.0
40,-2.6333,42.8424,69.0
41,-2.7167,42.9341,69.0
42,-2.55,42.823,69.0
43,-2.4747,42.7347,46.0
44,-2.303,42.7924,46.0
45,-2.2722,42.8102,92.0
46,-2.6667,42.5846,46.0
47,-2.6166,42.4994,23.0
48,-2.5666,42.5452,37605.0
49,-2.5,42.6016,46.0
50,-2.4878,42.6222,23.0
51,-2.45,39.2507,46.0
52,-2.4277,39.2498,23.0
53,-2.3486,39.2396,69.0
54,-2.45,39.0618,46.0
55,-2.0166,39.0173,46.0
56,-1.8333,38.9173,23.0
57,-1.8944,38.7256,23.0
58,-1.8999,38.734,23.0
59,-1.7333,38.8006,46.0
60,-2.6427,38.5734,138.0
61,-2.6655,38.6005,92.0
62,-2.6988,38.6908,46.0
63,-2.55,38.6506,23.0
64,-2.55,38.5673,184.0
65,-2.5,38.6173,345.0
66,-2.4166,38.434,46.0
67,-0.1498,38.8506,46.0
68,-0.8166,38.7173,23.0
69,-0.7832,38.734,138.0
70,-0.5332,38.684,69.0
71,-0.4832,38.7673,46.0
72,0.0502,38.7006,92.0
73,-0.8166,38.184,230.0
74,-0.7999,38.2006,6808.0
75,-0.7666,38.2006,8050.0
76,-0.5987,38.1923,9821.0
77,-0.6332,38.184,2691.0
78,-0.9499,38.1173,276.0
79,-0.9666,38.0173,161.0
80,-0.8832,38.0173,322.0
81,-0.6665,38.1006,460.0
82,-2.2333,37.8173,23.0
83,-2.2833,37.7006,23.0
84,-2.0666,37.734,23.0
85,-2.3,37.6006,46.0
86,-2.1333,37.5506,23.0
87,-2.5166,37.3506,69.0
88,-2.4166,37.4173,46.0
89,-2.35,37.4673,598.0
90,-2.2333,37.4339,69.0
91,-2.1387,37.3839,23.0
92,-2.0833,37.4839,69.0
93,-1.8999,37.5006,276.0
94,-2.0625,36.8006,828.0
95,-2.2,37.1839,23.0
96,-1.8833,37.2506,138.0
97,-1.8333,37.2339,46.0
98,-2.9167,37.0839,23.0
99,-2.9,37.0173,23.0
100,-2.7333,37.0006,115.0
101,-2.5666,37.0339,23.0
102,-2.35,37.0839,46.0
103,-2.25,37.1506,23.0
104,-2.2333,37.0839,345.0
105,-2.1333,37.1506,23.0
106,-1.8833,37.0506,46.0
107,-1.8499,37.1673,161.0
108,-2.9833,36.9006,46.0
109,-2.9167,36.9673,46.0
110,-2.8833,37.0006,23.0
111,-2.8833,36.8673,92.0
112,-2.7667,36.9839,69.0
113,-2.7667,36.8839,23.0
114,-2.7167,36.8339,46.0
115,-2.5166,36.8839,23.0
116,-2.4833,36.9506,69.0
117,-2.3333,37.0006,46.0
118,-2.2166,36.9173,23.0
119,-2.15,36.8673,253.0
120,-2.0833,36.8506,115.0
121,-1.9666,37.0006,805.0
122,-2.0333,36.8839,46.0
123,-2.95,36.7506,69.0
124,-2.9333,36.8173,23.0
125,-2.7333,36.7673,92.0
126,-2.6833,36.7173,368.0
127,-2.6333,36.7506,253.0
128,-2.25,36.8339,23.0
129,-2.2,36.7673,276.0
130,-2.2333,36.7839,460.0
131,-2.0666,36.8173,69.0
132,-6.9836,43.5175,69.0
133,-6.6835,43.5341,460.0
134,-5.7668,43.5675,69.0
135,-6.8502,43.4508,46.0
136,-6.5002,43.4175,230.0
137,-5.4335,43.4341,230.0
138,-5.2668,43.4508,69.0
139,-6.9336,43.1841,138.0
140,-5.7835,43.2008,92.0
141,-5.0835,43.3008,184.0
142,-4.8334,41.0674,920.0
143,-4.9501,41.1007,115.0
144,-5.0501,40.884,46.0
145,-4.9668,40.9507,253.0
146,-4.9668,40.9674,115.0
147,-5.1835,40.4174,46.0
148,-5.0168,40.5174,46.0
149,-4.8334,40.6007,92.0
150,-4.7334,40.5174,69.0
151,-4.5168,40.5507,161.0
152,-4.4334,40.584,138.0
153,-5.0812,40.3576,207.0
154,-4.9879,40.394,69.0
155,-4.7668,40.5007,368.0
156,-4.4654,40.3882,46.0
157,-5.6668,40.3007,46.0
158,-5.2301,40.279,46.0
159,-5.1665,40.2262,69.0
160,-5.1626,40.2382,23.0
161,-5.0334,40.284,138.0
162,-5.0168,40.3174,23.0
163,-5.3321,40.1479,23.0
164,-5.2501,40.134,92.0
165,-5.2501,40.1174,46.0
166,-5.0501,40.184,23.0
167,-5.1001,40.2507,69.0
168,-5.1001,40.2007,69.0
169,-5.1334,40.184,23.0
170,-4.7668,40.6507,115.0
171,-5.0834,39.3673,46.0
172,-5.0668,39.2673,46.0
173,-6.853,39.0812,69.0
174,-6.853,38.7912,207.0
175,-6.8483,38.794,69.0
176,-6.8463,38.7893,115.0
177,-6.8424,38.794,69.0
178,-6.6169,38.8673,92.0
179,-6.5835,38.834,184.0
180,-6.0835,38.884,115.0
181,-5.6501,39.0173,46.0
182,-5.2668,38.984,46.0
183,-6.9669,38.7173,161.0
184,-6.6835,38.8006,115.0
185,-6.4335,38.8006,92.0
186,-6.6835,38.684,345.0
187,-6.5169,38.7673,69.0
188,-6.4057,38.7212,414.0
189,-6.3657,38.7029,345.0
190,-5.7501,38.784,69.0
191,-6.9002,38.5506,46.0
192,-6.8335,38.5465,23.0
193,-6.8002,38.634,46.0
194,-6.4835,38.6173,276.0
195,-6.3168,38.584,46.0
196,-6.2835,38.5506,69.0
197,-5.8668,38.584,46.0
198,-5.6501,38.634,46.0
199,-5.5168,38.6173,46.0
200,-6.8169,38.4173,46.0
201,-6.6002,38.434,115.0
202,-6.5169,38.4006,46.0
203,-6.3335,38.4673,46.0
204,-5.8502,38.484,46.0
205,-7.0835,38.234,46.0
206,-7.0002,38.284,92.0
207,-6.7835,38.3173,92.0
208,-6.6896,38.2251,69.0
209,-6.6558,38.194,46.0
210,-6.4835,38.2173,92.0
211,-5.7168,38.284,46.0
212,-6.5669,38.134,46.0
213,-6.5335,38.034,115.0
214,1.8003,42.1841,46.0
215,2.3253,41.8118,207.0
216,2.3892,41.7785,46.0
217,2.3336,41.7674,92.0
218,2.4392,41.7618,46.0
219,1.5169,41.5174,115.0
220,1.4336,41.5007,23.0
221,2.317,41.5007,46.0
222,2.3586,41.5368,46.0
223,2.3586,41.5229,92.0
224,1.553,41.4515,115.0
225,1.6269,41.3515,46.0
226,1.8669,41.4007,115.0
227,1.9305,41.3889,92.0
228,1.9503,41.334,46.0
229,1.9169,41.3007,46.0
230,2.0108,41.3302,23.0
231,1.9528,41.2882,46.0
232,1.9455,41.2696,23.0
233,2.367,41.6841,23.0
234,-3.8167,42.9174,23.0
235,-3.0668,42.1341,23.0
236,-3.0667,42.1341,207.0
237,-3.0167,42.0424,69.0
238,-3.2833,41.9507,46.0
239,-3.0333,41.9841,69.0
240,-3.0167,41.9841,115.0
241,-3.9334,41.7507,69.0
242,-3.8667,41.7507,69.0
243,-3.8,41.7674,115.0
244,-3.7667,41.7341,69.0
245,-3.6834,41.7174,46.0
246,-3.5167,41.7007,69.0
247,-3.5667,41.6341,23.0
248,-3.5167,41.6841,23.0
249,-3.45,43.1174,115.0
250,-3.9667,41.8174,276.0
251,-3.9501,41.7507,23.0
252,-6.2502,40.3507,46.0
253,-6.6919,40.2424,69.0
254,-6.5002,40.2507,23.0
255,-6.1502,40.2174,138.0
256,-5.7001,40.2674,69.0
257,-6.4669,40.034,69.0
258,-5.8668,40.134,69.0
259,-5.8335,40.134,92.0
260,-5.5668,40.1507,115.0
261,-5.6001,40.0174,23.0
262,-5.5835,39.6673,575.0
263,-6.5946,39.2701,161.0
264,-6.5002,39.284,46.0
265,-6.0168,39.1507,23.0
266,-5.8835,40.2507,92.0
267,-5.8668,40.234,92.0
268,-6.8669,40.2174,46.0
269,-6.7669,40.234,46.0
270,-6.7835,40.2174,184.0
271,-5.5668,40.1007,46.0
272,-6.7835,40.184,46.0
273,-6.6335,40.2174,138.0
274,-6.0668,40.234,69.0
275,-6.5835,40.0174,161.0
276,-6.5502,40.034,23.0
277,-6.5502,40.0174,46.0
278,-5.6835,40.0174,23.0
279,-5.5668,40.034,92.0
280,-5.5335,40.0674,23.0
281,-5.4335,40.0507,23.0
282,-6.3169,39.984,92.0
283,-6.3169,39.9173,23.0
284,-6.4002,39.9507,92.0
285,-6.3835,39.9007,69.0
286,-5.7001,36.9006,69.0
287,-5.1168,36.9673,414.0
288,-5.1001,36.9173,184.0
289,-5.1168,36.9506,46.0
290,-6.1835,36.7506,46.0
291,-6.0502,36.7006,69.0
292,-6.0779,36.6841,276.0
293,-5.7335,36.7339,690.0
294,-5.5835,36.8173,69.0
295,-6.0502,36.5173,69.0
296,-5.7001,36.5006,1150.0
297,-6.0835,36.4839,230.0
298,-5.4335,36.3006,874.0
299,-5.4001,36.2506,23.0
300,-5.4335,36.2006,23.0
301,-5.3946,36.1837,69.0
302,-4.1167,43.4008,138.0
303,-3.7773,43.3966,69.0
304,-3.775,43.3958,92.0
305,-3.6167,43.3841,23.0
306,-3.45,43.3841,23.0
307,-3.2667,43.3841,69.0
308,-4.5334,43.3175,46.0
309,-4.2667,43.2341,92.0
310,-4.2334,43.2841,46.0
311,-3.4667,43.3008,23.0
312,-3.35,43.3175,23.0
313,-4.6668,43.0674,138.0
314,-4.0834,43.1174,161.0
315,-3.45,43.1508,46.0
316,-0.1332,40.6174,23.0
317,-0.0832,40.6507,69.0
318,-0.0498,40.6007,69.0
319,0.0002,40.584,23.0
320,0.2168,40.584,69.0
321,-0.2999,40.3007,46.0
322,-0.3999,40.1507,138.0
323,-0.3165,40.1174,23.0
324,-0.4665,40.0507,23.0
325,0.0668,40.134,23.0
326,-0.0498,39.884,207.0
327,-0.5665,39.8007,115.0
328,-0.1998,39.7507,23.0
329,-0.1637,39.7673,69.0
330,-4.887,39.4451,46.0
331,-4.6668,39.3673,23.0
332,-3.7334,39.2673,23.0
333,-3.5667,39.234,46.0
334,-3.1833,39.3173,46.0
335,-2.8667,39.284,23.0
336,-4.157,39.0348,184.0
337,-3.2417,39.1118,1564.0
338,-3.1167,39.1173,92.0
339,-3.8334,38.834,23.0
340,-3.6945,38.8687,23.0
341,-3.3947,38.837,92.0
342,-3.2667,38.884,184.0
343,-4.0801,38.734,299.0
344,-3.8956,38.722,46.0
345,-3.4334,38.8006,115.0
346,-2.7167,38.684,138.0
347,-3.8903,38.5826,161.0
348,-3.4667,38.6006,138.0
349,-3.4834,38.6006,23.0
350,-3.2833,38.584,23.0
351,-3.4639,39.259,46.0
352,-3.4084,38.8006,23.0
353,-3.0167,39.1895,23.0
354,-3.1542,39.3173,46.0
355,-5.1668,38.384,23.0
356,-4.9001,38.584,23.0
357,-4.8834,38.4006,23.0
358,-4.9334,38.3506,23.0
359,-4.807,38.4409,23.0
360,-4.8043,38.3562,23.0
361,-4.7584,38.3812,23.0
362,-4.9001,38.0173,23.0
363,-4.8334,38.0506,23.0
364,-4.4001,38.0506,23.0
365,-4.8001,37.8673,23.0
366,-5.2501,37.7339,322.0
367,-5.0987,37.7784,46.0
368,-5.0765,37.8034,391.0
369,-5.0168,37.784,115.0
370,-4.9987,37.7312,46.0
371,-4.7834,37.8173,230.0
372,-4.7834,37.7673,23.0
373,-4.6668,37.5173,92.0
374,-4.2667,37.4673,46.0
375,-4.4667,37.3673,115.0
376,-7.9975,43.6994,69.0
377,-8.117,43.6008,207.0
378,-8.0503,43.4841,115.0
379,-8.2072,43.3105,782.0
380,-8.1336,43.3174,115.0
381,-8.0836,43.1841,46.0
382,-8.7337,43.1174,207.0
383,-8.6837,43.0994,23.0
384,-8.5837,43.1341,161.0
385,-8.5003,43.1174,92.0
386,-8.3503,43.0674,23.0
387,-8.1336,43.1508,460.0
388,-8.0003,43.0841,276.0
389,-8.8003,42.9341,460.0
390,-8.6503,42.9841,92.0
391,-8.717,42.8841,69.0
392,-8.4503,42.9008,276.0
393,-8.1336,42.9341,23.0
394,-8.017,42.898,92.0
395,-8.867,42.7508,161.0
396,-8.7003,42.8174,230.0
397,-8.4003,42.8008,207.0
398,-8.217,43.3091,92.0
399,-2.55,40.3507,3105.0
400,-2.2333,40.4674,23.0
401,-1.8499,40.384,184.0
402,-1.9166,40.384,161.0
403,-2.8333,40.2007,230.0
404,-1.9166,40.2507,253.0
405,-1.9166,40.2174,138.0
406,-1.8333,40.2507,138.0
407,-3.0667,40.0507,23.0
408,-2.0333,40.1674,207.0
409,-2.0333,40.1673,138.0
410,-1.9499,40.034,115.0
411,-1.8999,40.034,207.0
412,-1.6666,40.1007,69.0
413,-1.6666,40.0507,69.0
414,-2.0333,39.884,23.0
415,-1.9833,39.9674,115.0
416,-1.9833,39.9507,184.0
417,-1.9333,39.984,92.0
418,-1.9333,39.9674,92.0
419,-1.6833,39.984,322.0
420,-2.9,39.8173,207.0
421,-2.7167,39.4673,1127.0
422,-1.7708,40.2124,184.0
423,-1.7944,40.3813,23.0
424,2.1336,42.2341,161.0
425,2.4906,42.2144,115.0
426,2.7003,42.2841,69.0
427,2.6837,42.2674,115.0
428,2.2003,42.3174,138.0
429,2.5198,42.1521,115.0
430,2.5503,42.1507,46.0
431,2.4281,41.8424,184.0
432,2.4225,41.8396,92.0
433,2.7837,41.9841,69.0
434,2.7837,41.9507,23.0
435,2.7642,41.8368,69.0
436,3.017,41.9507,69.0
437,3.1672,41.9201,23.0
438,2.7156,41.7696,115.0
439,2.7503,42.1507,69.0
440,-2.55,37.6506,46.0
441,-2.45,37.7506,207.0
442,-2.4333,37.8173,69.0
443,-3.6,37.4228,138.0
444,-3.3,37.4006,46.0
445,-2.7667,37.3673,23.0
446,-3.7334,37.1673,23.0
447,-3.1833,37.3172,46.0
448,-3.0667,37.3173,23.0
449,-3.1833,37.2673,46.0
450,-2.8833,37.2506,23.0
451,-3.0167,37.1839,69.0
452,-4.0834,37.1673,23.0
453,-4.0334,37.0839,23.0
454,-4.0334,37.0173,23.0
455,-3.9167,37.084,46.0
456,-3.4834,37.0506,782.0
457,-3.3834,37.1006,69.0
458,-3.25,37.1506,23.0
459,-3.2833,37.0173,23.0
460,-3.0833,37.0173,46.0
461,-3.0667,37.1506,23.0
462,-3.3,36.9006,23.0
463,-3.2833,36.9839,23.0
464,-3.0833,36.9506,23.0
465,-3.15,36.8673,46.0
466,-3.05,36.8839,46.0
467,-3.5167,36.7839,23.0
468,-3.6,36.7839,23.0
469,-3.3653,36.7806,23.0
470,-3.3686,36.7609,46.0
471,-3.3661,36.7417,115.0
472,-2.575,37.634,23.0
473,-2.55,37.6339,299.0
474,-2.55,37.6339,943.0
475,-2.5499,37.6339,667.0
476,-2.5847,37.6423,230.0
477,-3.7166,37.1006,92.0
478,-3.2833,41.084,46.0
479,-3.2333,41.0507,115.0
480,-2.3666,41.034,69.0
481,-3.2722,40.8618,23.0
482,-3.1333,40.9007,23.0
483,-3.1,40.9507,23.0
484,-2.8667,40.8507,46.0
485,-2.7167,40.884,138.0
486,-3.4278,40.709,23.0
487,-3.1167,40.7674,92.0
488,-3.0833,40.7674,46.0
489,-2.9833,40.784,92.0
490,-3.1708,40.5326,23.0
491,-3.2458,40.9146,23.0
492,-3.15,40.734,46.0
493,-3.3167,40.6007,23.0
494,-3.2917,41.059,23.0
495,-3.1,40.934,23.0
496,-1.5833,40.7757,46.0
497,-2.95,40.9507,46.0
498,-2.8667,40.7674,391.0
499,-3.1667,40.5674,69.0
500,-3.0667,40.9924,46.0
501,-1.8333,43.3675,46.0
502,-1.7833,43.0341,253.0
503,-2.4166,43.2174,138.0
504,-2.5333,43.0008,46.0
505,-2.2166,43.1508,23.0
506,-2.2666,43.0341,46.0
507,-2.1166,43.0508,69.0
508,-1.9333,43.1508,46.0
509,-7.1169,37.9673,23.0
510,-7.0569,37.8392,23.0
511,-6.4059,36.9166,46.0
512,-6.8685,37.9459,276.0
513,-6.8685,37.9328,276.0
514,-6.7335,37.8673,115.0
515,-6.6269,37.949,23.0
516,-6.4724,37.8837,46.0
517,-6.2002,37.9173,69.0
518,-7.1419,37.7687,23.0
519,-6.9155,37.6687,207.0
520,-6.8935,37.7164,92.0
521,-6.7155,37.7728,253.0
522,-6.5669,37.5751,69.0
523,-7.121,37.5895,207.0
524,-6.9169,37.5534,207.0
525,-7.0002,37.3503,69.0
526,-6.3502,37.4673,138.0
527,-6.4669,37.4006,23.0
528,-6.3724,37.3728,138.0
529,-6.9335,37.2007,207.0
530,-6.8502,37.2006,276.0
531,-6.5835,37.1839,46.0
532,-6.4962,37.2505,23.0
533,-6.4335,37.2839,46.0
534,-6.5002,37.2006,46.0
535,-6.8169,37.1506,138.0
536,-6.6835,37.1006,138.0
537,-6.5044,37.017,46.0
538,-6.5132,37.1012,46.0
539,-0.7332,42.8341,460.0
540,-0.7165,42.8508,46.0
541,-0.3998,42.7841,92.0
542,-0.2332,42.7841,414.0
543,-0.8499,42.6063,92.0
544,-0.8499,42.6008,23.0
545,-0.7499,42.5508,46.0
546,-0.5499,42.5508,23.0
547,-0.4665,42.5341,23.0
548,0.0168,42.6341,69.0
549,0.6169,42.5841,46.0
550,-0.5832,42.4674,115.0
551,0.1502,42.4674,115.0
552,0.0335,42.4341,207.0
553,-0.4665,42.4508,184.0
554,0.5502,42.4841,92.0
555,-0.6999,42.4008,23.0
556,-0.6499,42.3007,69.0
557,-0.7499,42.0007,23.0
558,-0.2832,41.9466,1771.0
559,-0.2832,41.941,391.0
560,-0.3498,41.9257,483.0
561,-0.2707,41.8702,276.0
562,-0.1998,41.8868,529.0
563,-0.4499,41.7507,207.0
564,0.3335,41.6007,161.0
565,-0.1832,42.6174,207.0
566,0.0668,42.6008,23.0
567,0.0168,42.5841,161.0
568,-0.1332,42.5341,23.0
569,0.3002,42.6008,23.0
570,0.2335,42.6174,161.0
571,0.3835,42.5674,161.0
572,0.3502,42.5841,184.0
573,-2.7592,38.509,138.0
574,-3.9303,38.1656,69.0
575,-2.7,38.5006,23.0
576,-2.6166,38.5006,161.0
577,-2.6,38.4006,46.0
578,-3.9042,38.3145,23.0
579,-4.2334,38.0673,115.0
580,-4.1042,38.037,92.0
581,-4.0973,38.0437,92.0
582,-4.0576,38.0356,69.0
583,-4.0142,38.0437,69.0
584,-3.9981,38.1117,69.0
585,-3.92,38.0659,23.0
586,-3.8834,38.134,23.0
587,-3.6534,38.3251,161.0
588,-3.7667,38.0006,92.0
589,-2.9,38.0506,69.0
590,-4.0345,37.964,46.0
591,-3.8667,37.9395,46.0
592,-3.7456,37.9834,92.0
593,-3.0667,37.834,161.0
594,-2.9,37.9673,46.0
595,-3.8167,37.7506,23.0
596,-3.85,37.734,46.0
597,-3.8167,37.7173,23.0
598,-3.0,37.8006,253.0
599,-2.9,42.3508,23.0
600,-2.1138,42.4091,207.0
601,-1.8527,42.2202,23.0
602,-2.0166,42.1174,46.0
603,-5.0501,43.1341,161.0
604,-5.0334,43.1008,230.0
605,-4.8668,43.1174,92.0
606,-5.6168,42.4008,23.0
607,-5.5668,42.3507,23.0
608,-5.5001,42.4008,69.0
